24.64; 59.61; 2023-12-12 08:42:26.921091
24.3; 60.97; 2023-12-12 08:42:27.427643
25.21; 60.98; 2023-12-12 08:42:29.461235
24.23; 60.14; 2023-12-12 08:42:31.497814
25.41; 59.88; 2023-12-12 08:42:33.548309
25.03; 59.29; 2023-12-12 08:42:35.641539
25.96; 59.93; 2023-12-12 08:42:37.585746
25.8; 60.8; 2023-12-12 08:42:39.631736
24.13; 60.08; 2023-12-12 08:42:41.686007
25.78; 60.62; 2023-12-12 08:42:43.697368
24.99; 60.21; 2023-12-12 08:42:45.701661
24.96; 59.72; 2023-12-12 08:42:47.811645
25.7; 60.78; 2023-12-12 08:42:49.777370
24.84; 60.45; 2023-12-12 21:37:28.900760
25.56; 59.89; 2023-12-12 21:37:31.170733
24.29; 60.85; 2023-12-12 21:37:38.944294
25.57; 60.18; 2023-12-12 21:37:39.058005
25.68; 60.45; 2023-12-12 21:37:39.116423
25.88; 60.3; 2023-12-12 21:37:40.361194
24.36; 59.62; 2023-12-12 21:37:42.363602
25.21; 60.79; 2023-12-12 21:37:44.495913
24.85; 60.39; 2023-12-12 21:37:46.841955
25.41; 60.97; 2023-12-12 21:37:48.966106
24.12; 60.42; 2023-12-12 21:37:51.155483
24.92; 59.26; 2023-12-12 21:37:53.403124
24.25; 59.3; 2023-12-13 08:23:14.979402
24.92; 60.2; 2023-12-13 08:23:17.449277
25.43; 59.6; 2023-12-13 08:23:20.127231
25.61; 59.63; 2023-12-13 08:23:22.562848
25.65; 59.99; 2023-12-13 08:23:24.875786
25.42; 60.42; 2023-12-13 08:23:27.107676
25.26; 59.66; 2023-12-13 08:23:29.727034
25.46; 59.45; 2023-12-13 08:23:31.892321
25.07; 60.35; 2023-12-13 08:23:34.185118
25.02; 60.9; 2023-12-13 08:23:36.844982
24.41; 60.74; 2023-12-13 08:23:39.399503
24.24; 60.28; 2023-12-13 08:23:41.661328
25.0; 60.49; 2023-12-13 08:23:43.882849
24.37; 60.87; 2023-12-13 08:23:46.169430
24.73; 59.97; 2023-12-13 08:23:48.239674
25.64; 59.33; 2023-12-13 08:23:51.299640
24.4; 59.91; 2023-12-13 08:23:53.472006
24.08; 59.13; 2023-12-13 08:23:55.701695
24.53; 60.19; 2023-12-13 08:23:58.461756
24.64; 59.23; 2023-12-13 08:24:00.749247
24.32; 60.74; 2023-12-13 08:24:03.382695
25.17; 60.9; 2023-12-13 08:24:05.389424
25.94; 60.77; 2023-12-13 08:24:07.499596
25.02; 59.94; 2023-12-13 08:24:09.878204
24.88; 59.23; 2023-12-13 08:24:12.377689
25.89; 59.24; 2023-12-13 08:27:21.696058
24.25; 60.67; 2023-12-13 08:27:24.049607
24.83; 60.59; 2023-12-13 08:27:26.229213
24.62; 59.72; 2023-12-13 08:27:28.872663
24.97; 60.98; 2023-12-13 08:27:31.201585
25.1; 59.84; 2023-12-13 08:27:33.692306
25.09; 59.63; 2023-12-13 08:27:36.329168
24.26; 59.09; 2023-12-13 08:27:38.621369
24.88; 59.63; 2023-12-13 08:27:41.133425
25.61; 59.22; 2023-12-13 08:27:43.299580
25.79; 59.78; 2023-12-13 08:27:45.494440
24.03; 60.72; 2023-12-13 08:27:47.664648
24.85; 59.4; 2023-12-13 08:27:49.881474
24.92; 60.09; 2023-12-13 08:27:52.209537
24.24; 60.87; 2023-12-13 08:27:54.559710
24.84; 59.83; 2023-12-13 08:27:57.159489
24.77; 59.46; 2023-12-13 08:28:01.229412
25.74; 60.36; 2023-12-13 08:28:02.079506
24.95; 59.57; 2023-12-13 08:28:04.439491
24.08; 59.56; 2023-12-13 08:28:06.869686
24.37; 59.26; 2023-12-13 08:28:16.174924
25.87; 59.93; 2023-12-13 08:28:16.246570
25.74; 60.54; 2023-12-13 08:28:16.320915
24.38; 59.08; 2023-12-13 08:28:16.777151
25.73; 59.41; 2023-12-13 08:28:19.371458
25.14; 60.85; 2023-12-13 09:27:38.956656
24.24; 60.97; 2023-12-13 09:27:41.081335
25.66; 60.0; 2023-12-13 09:27:43.249200
25.57; 59.78; 2023-12-13 09:27:45.604997
25.82; 59.88; 2023-12-13 09:27:47.706470
25.07; 60.63; 2023-12-13 09:27:49.907407
24.39; 59.8; 2023-12-13 09:27:52.108408
24.18; 60.05; 2023-12-13 09:27:54.414710
25.0; 59.59; 2023-12-13 09:27:56.451895
25.33; 60.95; 2023-12-13 09:27:58.558112
25.79; 59.73; 2023-12-13 09:28:00.827399
24.71; 59.29; 2023-12-13 09:28:03.045837
24.55; 60.83; 2023-12-13 09:28:05.298241
25.46; 59.53; 2023-12-13 09:28:07.405831
24.06; 60.91; 2023-12-13 09:28:09.565731
25.41; 60.36; 2023-12-13 09:28:12.047378
25.29; 59.1; 2023-12-13 09:28:14.136364
24.57; 60.5; 2023-12-13 09:28:16.396738
25.05; 59.31; 2023-12-13 09:28:18.507451
25.95; 60.94; 2023-12-13 09:28:20.655376
24.52; 59.16; 2023-12-13 09:28:22.960293
25.3; 59.21; 2023-12-13 09:28:25.366944
24.07; 59.16; 2023-12-13 09:28:27.766744
24.99; 59.62; 2023-12-13 09:28:30.059001
25.13; 59.07; 2023-12-13 09:28:32.435488
24.05; 59.16; 2023-12-13 09:28:35.111834
25.46; 59.71; 2023-12-13 09:28:37.495794
24.91; 60.23; 2023-12-13 09:28:40.279442
24.65; 60.47; 2023-12-13 09:28:42.738865
25.32; 59.33; 2023-12-13 09:28:45.156244
25.13; 59.32; 2023-12-13 09:28:52.719230
24.03; 59.5; 2023-12-13 09:28:52.784135
25.55; 59.34; 2023-12-13 09:28:52.854009
25.93; 60.37; 2023-12-13 09:28:54.281621
24.7; 60.23; 2023-12-13 09:28:58.380323
24.9; 59.76; 2023-12-13 09:28:58.910932
24.31; 60.2; 2023-12-13 09:29:01.374974
24.85; 59.76; 2023-12-15 14:24:12.231204
25.07; 60.54; 2023-12-15 14:24:17.466408
25.91; 60.45; 2023-12-15 14:24:22.203552
24.11; 60.78; 2023-12-15 14:24:27.093440
24.45; 59.02; 2023-12-15 14:24:31.873544
